SUBDIVISION,YEAR,Parameter,ANNUAL
ANDAMAN & NICOBAR ISLANDS,1953,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1954,Actual,3449
ANDAMAN & NICOBAR ISLANDS,1954,Percentage departure,18.5
ANDAMAN & NICOBAR ISLANDS,1954,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1955,Actual,3349.6
ANDAMAN & NICOBAR ISLANDS,1955,Percentage departure,15.1
ANDAMAN & NICOBAR ISLANDS,1955,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1956,Actual,3080
ANDAMAN & NICOBAR ISLANDS,1956,Percentage departure,5.8
ANDAMAN & NICOBAR ISLANDS,1956,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1957,Actual,2507.2
ANDAMAN & NICOBAR ISLANDS,1957,Percentage departure,-13.9
ANDAMAN & NICOBAR ISLANDS,1957,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1958,Actual,2807.4
ANDAMAN & NICOBAR ISLANDS,1958,Percentage departure,-3.6
ANDAMAN & NICOBAR ISLANDS,1958,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1959,Actual,3343.3
ANDAMAN & NICOBAR ISLANDS,1959,Percentage departure,14.9
ANDAMAN & NICOBAR ISLANDS,1959,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1960,Actual,3025
ANDAMAN & NICOBAR ISLANDS,1960,Percentage departure,3.9
ANDAMAN & NICOBAR ISLANDS,1960,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1961,Actual,3938.2
ANDAMAN & NICOBAR ISLANDS,1961,Percentage departure,35.3
ANDAMAN & NICOBAR ISLANDS,1961,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1962,Actual,2959.7
ANDAMAN & NICOBAR ISLANDS,1962,Percentage departure,1.7
ANDAMAN & NICOBAR ISLANDS,1962,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1963,Actual,2981.7
ANDAMAN & NICOBAR ISLANDS,1963,Percentage departure,2.4
ANDAMAN & NICOBAR ISLANDS,1963,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1964,Actual,3054.8
ANDAMAN & NICOBAR ISLANDS,1964,Percentage departure,4.9
ANDAMAN & NICOBAR ISLANDS,1964,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1965,Actual,3163.8
ANDAMAN & NICOBAR ISLANDS,1965,Percentage departure,8.7
ANDAMAN & NICOBAR ISLANDS,1965,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1966,Actual,2701.2
ANDAMAN & NICOBAR ISLANDS,1966,Percentage departure,-7.2
ANDAMAN & NICOBAR ISLANDS,1966,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1967,Actual,3216.4
ANDAMAN & NICOBAR ISLANDS,1967,Percentage departure,10.5
ANDAMAN & NICOBAR ISLANDS,1967,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1968,Actual,2762.8
ANDAMAN & NICOBAR ISLANDS,1968,Percentage departure,-5.1
ANDAMAN & NICOBAR ISLANDS,1968,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1969,Actual,2619
ANDAMAN & NICOBAR ISLANDS,1969,Percentage departure,-10
ANDAMAN & NICOBAR ISLANDS,1969,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1970,Actual,3370.8
ANDAMAN & NICOBAR ISLANDS,1970,Percentage departure,15.8
ANDAMAN & NICOBAR ISLANDS,1970,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1971,Actual,2998.6
ANDAMAN & NICOBAR ISLANDS,1971,Percentage departure,3
ANDAMAN & NICOBAR ISLANDS,1971,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1972,Actual,3323
ANDAMAN & NICOBAR ISLANDS,1972,Percentage departure,14.2
ANDAMAN & NICOBAR ISLANDS,1972,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1973,Actual,2991.1
ANDAMAN & NICOBAR ISLANDS,1973,Percentage departure,2.8
ANDAMAN & NICOBAR ISLANDS,1973,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1974,Actual,2962
ANDAMAN & NICOBAR ISLANDS,1974,Percentage departure,1.8
ANDAMAN & NICOBAR ISLANDS,1974,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1975,Actual,3085.7
ANDAMAN & NICOBAR ISLANDS,1975,Percentage departure,6
ANDAMAN & NICOBAR ISLANDS,1975,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1976,Actual,3276
ANDAMAN & NICOBAR ISLANDS,1976,Percentage departure,12.5
ANDAMAN & NICOBAR ISLANDS,1976,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1977,Actual,2388.2
ANDAMAN & NICOBAR ISLANDS,1977,Percentage departure,-18
ANDAMAN & NICOBAR ISLANDS,1977,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1978,Actual,2712.4
ANDAMAN & NICOBAR ISLANDS,1978,Percentage departure,-6.8
ANDAMAN & NICOBAR ISLANDS,1978,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1979,Actual,1849.4
ANDAMAN & NICOBAR ISLANDS,1979,Percentage departure,-36.5
ANDAMAN & NICOBAR ISLANDS,1979,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1980,Actual,3625.3
ANDAMAN & NICOBAR ISLANDS,1980,Percentage departure,24.5
ANDAMAN & NICOBAR ISLANDS,1980,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1981,Actual,3074.8
ANDAMAN & NICOBAR ISLANDS,1981,Percentage departure,5.6
ANDAMAN & NICOBAR ISLANDS,1981,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1982,Actual,2384.5
ANDAMAN & NICOBAR ISLANDS,1982,Percentage departure,-18.1
ANDAMAN & NICOBAR ISLANDS,1982,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1983,Actual,2792.4
ANDAMAN & NICOBAR ISLANDS,1983,Percentage departure,-4.1
ANDAMAN & NICOBAR ISLANDS,1983,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1984,Actual,2820.3
ANDAMAN & NICOBAR ISLANDS,1984,Percentage departure,-3.1
ANDAMAN & NICOBAR ISLANDS,1984,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1985,Actual,2630.8
ANDAMAN & NICOBAR ISLANDS,1985,Percentage departure,-9.6
ANDAMAN & NICOBAR ISLANDS,1985,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1986,Actual,2187.8
ANDAMAN & NICOBAR ISLANDS,1986,Percentage departure,-24.8
ANDAMAN & NICOBAR ISLANDS,1986,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1987,Actual,2764
ANDAMAN & NICOBAR ISLANDS,1987,Percentage departure,-5
ANDAMAN & NICOBAR ISLANDS,1987,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1988,Actual,3323
ANDAMAN & NICOBAR ISLANDS,1988,Percentage departure,14.2
ANDAMAN & NICOBAR ISLANDS,1988,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1989,Actual,2533.6
ANDAMAN & NICOBAR ISLANDS,1989,Percentage departure,-13
ANDAMAN & NICOBAR ISLANDS,1989,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1990,Actual,2183.4
ANDAMAN & NICOBAR ISLANDS,1990,Percentage departure,-25
ANDAMAN & NICOBAR ISLANDS,1990,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1991,Actual,2535.8
ANDAMAN & NICOBAR ISLANDS,1991,Percentage departure,-12.9
ANDAMAN & NICOBAR ISLANDS,1991,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1992,Actual,2098.7
ANDAMAN & NICOBAR ISLANDS,1992,Percentage departure,-27.9
ANDAMAN & NICOBAR ISLANDS,1992,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1993,Actual,2237.4
ANDAMAN & NICOBAR ISLANDS,1993,Percentage departure,-23.1
ANDAMAN & NICOBAR ISLANDS,1993,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1994,Actual,3262.8
ANDAMAN & NICOBAR ISLANDS,1994,Percentage departure,12.1
ANDAMAN & NICOBAR ISLANDS,1994,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1995,Actual,3115.4
ANDAMAN & NICOBAR ISLANDS,1995,Percentage departure,7
ANDAMAN & NICOBAR ISLANDS,1995,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1996,Actual,2996.9
ANDAMAN & NICOBAR ISLANDS,1996,Percentage departure,2.9
ANDAMAN & NICOBAR ISLANDS,1996,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1997,Actual,2755.1
ANDAMAN & NICOBAR ISLANDS,1997,Percentage departure,-5.4
ANDAMAN & NICOBAR ISLANDS,1997,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1998,Actual,2846.4
ANDAMAN & NICOBAR ISLANDS,1998,Percentage departure,-2.2
ANDAMAN & NICOBAR ISLANDS,1998,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,1999,Actual,2699.7
ANDAMAN & NICOBAR ISLANDS,1999,Percentage departure,-7.3
ANDAMAN & NICOBAR ISLANDS,1999,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2000,Actual,2763.2
ANDAMAN & NICOBAR ISLANDS,2000,Percentage departure,-5.1
ANDAMAN & NICOBAR ISLANDS,2000,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2001,Actual,3080.9
ANDAMAN & NICOBAR ISLANDS,2001,Percentage departure,5.8
ANDAMAN & NICOBAR ISLANDS,2001,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2002,Actual,2620.2
ANDAMAN & NICOBAR ISLANDS,2002,Percentage departure,-10
ANDAMAN & NICOBAR ISLANDS,2002,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2003,Actual,2355.9
ANDAMAN & NICOBAR ISLANDS,2003,Percentage departure,-19.1
ANDAMAN & NICOBAR ISLANDS,2003,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2004,Actual,2460.1
ANDAMAN & NICOBAR ISLANDS,2004,Percentage departure,-15.5
ANDAMAN & NICOBAR ISLANDS,2004,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2005,Actual,2954.7
ANDAMAN & NICOBAR ISLANDS,2005,Percentage departure,1.5
ANDAMAN & NICOBAR ISLANDS,2005,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2006,Actual,2404.7
ANDAMAN & NICOBAR ISLANDS,2006,Percentage departure,-17.4
ANDAMAN & NICOBAR ISLANDS,2006,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2007,Actual,2748
ANDAMAN & NICOBAR ISLANDS,2007,Percentage departure,-5.6
ANDAMAN & NICOBAR ISLANDS,2007,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2008,Actual,3374.8
ANDAMAN & NICOBAR ISLANDS,2008,Percentage departure,15.9
ANDAMAN & NICOBAR ISLANDS,2008,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2009,Actual,2538.6
ANDAMAN & NICOBAR ISLANDS,2009,Percentage departure,-12.8
ANDAMAN & NICOBAR ISLANDS,2009,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2010,Actual,3157.1
ANDAMAN & NICOBAR ISLANDS,2010,Percentage departure,8.5
ANDAMAN & NICOBAR ISLANDS,2010,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2011,Actual,3828
ANDAMAN & NICOBAR ISLANDS,2011,Percentage departure,31.5
ANDAMAN & NICOBAR ISLANDS,2011,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2012,Actual,3497.6
ANDAMAN & NICOBAR ISLANDS,2012,Percentage departure,20.1
ANDAMAN & NICOBAR ISLANDS,2012,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2013,Actual,3757.8
ANDAMAN & NICOBAR ISLANDS,2013,Percentage departure,29.1
ANDAMAN & NICOBAR ISLANDS,2013,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2014,Actual,2622.4
ANDAMAN & NICOBAR ISLANDS,2014,Percentage departure,-9.9
ANDAMAN & NICOBAR ISLANDS,2014,No. of districts,NA
ANDAMAN & NICOBAR ISLANDS,2015,Actual,2904.6
ANDAMAN & NICOBAR ISLANDS,2015,Percentage departure,-0.2
ANDAMAN & NICOBAR ISLANDS,2015,No. of districts,NA
ARUNACHAL PRADESH,1901,Mean,3486.1
ARUNACHAL PRADESH,1901,Standard deviation,1083
ARUNACHAL PRADESH,1901,Coefficient of variation,31.1
ARUNACHAL PRADESH,1916,Actual,NA
ARUNACHAL PRADESH,1916,Percentage departure,NA
ARUNACHAL PRADESH,1916,No. of districts,NA
ARUNACHAL PRADESH,1917,Actual,NA
ARUNACHAL PRADESH,1917,Percentage departure,NA
ARUNACHAL PRADESH,1917,No. of districts,NA
ARUNACHAL PRADESH,1918,Actual,5486.3
ARUNACHAL PRADESH,1918,Percentage departure,57.4
ARUNACHAL PRADESH,1918,No. of districts,NA
ARUNACHAL PRADESH,1919,Actual,4693.9
ARUNACHAL PRADESH,1919,Percentage departure,34.6
ARUNACHAL PRADESH,1919,No. of districts,NA
ARUNACHAL PRADESH,1920,Actual,4106.7
ARUNACHAL PRADESH,1920,Percentage departure,17.8
ARUNACHAL PRADESH,1920,No. of districts,NA
ARUNACHAL PRADESH,1921,Actual,5691.4
ARUNACHAL PRADESH,1921,Percentage departure,63.3
ARUNACHAL PRADESH,1921,No. of districts,NA
ARUNACHAL PRADESH,1922,Actual,4187.2
ARUNACHAL PRADESH,1922,Percentage departure,20.1
ARUNACHAL PRADESH,1922,No. of districts,NA
ARUNACHAL PRADESH,1923,Actual,3507.5
ARUNACHAL PRADESH,1923,Percentage departure,0.6
ARUNACHAL PRADESH,1923,No. of districts,NA
ARUNACHAL PRADESH,1924,Actual,4450.5
ARUNACHAL PRADESH,1924,Percentage departure,27.7
ARUNACHAL PRADESH,1924,No. of districts,NA
ARUNACHAL PRADESH,1925,Actual,4439.8
ARUNACHAL PRADESH,1925,Percentage departure,27.4
ARUNACHAL PRADESH,1925,No. of districts,NA
ARUNACHAL PRADESH,1926,Actual,3521.6
ARUNACHAL PRADESH,1926,Percentage departure,1
ARUNACHAL PRADESH,1926,No. of districts,NA
ARUNACHAL PRADESH,1927,Actual,5253.2
ARUNACHAL PRADESH,1927,Percentage departure,50.7
ARUNACHAL PRADESH,1927,No. of districts,NA
ARUNACHAL PRADESH,1928,Actual,5272.7
ARUNACHAL PRADESH,1928,Percentage departure,51.2
ARUNACHAL PRADESH,1928,No. of districts,NA
ARUNACHAL PRADESH,1929,Actual,4320.2
ARUNACHAL PRADESH,1929,Percentage departure,23.9
ARUNACHAL PRADESH,1929,No. of districts,NA
ARUNACHAL PRADESH,1930,Actual,4334.1
ARUNACHAL PRADESH,1930,Percentage departure,24.3
ARUNACHAL PRADESH,1930,No. of districts,NA
ARUNACHAL PRADESH,1931,Actual,4872.1
ARUNACHAL PRADESH,1931,Percentage departure,39.8
ARUNACHAL PRADESH,1931,No. of districts,NA
ARUNACHAL PRADESH,1932,Actual,4850.9
ARUNACHAL PRADESH,1932,Percentage departure,39.1
ARUNACHAL PRADESH,1932,No. of districts,NA
ARUNACHAL PRADESH,1933,Actual,3773.3
ARUNACHAL PRADESH,1933,Percentage departure,8.2
ARUNACHAL PRADESH,1933,No. of districts,NA
ARUNACHAL PRADESH,1934,Actual,4575.7
ARUNACHAL PRADESH,1934,Percentage departure,31.3
ARUNACHAL PRADESH,1934,No. of districts,NA
ARUNACHAL PRADESH,1935,Actual,4173.7
ARUNACHAL PRADESH,1935,Percentage departure,19.7
ARUNACHAL PRADESH,1935,No. of districts,NA
ARUNACHAL PRADESH,1936,Actual,4788.9
ARUNACHAL PRADESH,1936,Percentage departure,37.4
ARUNACHAL PRADESH,1936,No. of districts,NA
ARUNACHAL PRADESH,1937,Actual,3375.1
ARUNACHAL PRADESH,1937,Percentage departure,-3.2
ARUNACHAL PRADESH,1937,No. of districts,NA
ARUNACHAL PRADESH,1938,Actual,6129
ARUNACHAL PRADESH,1938,Percentage departure,75.8
ARUNACHAL PRADESH,1938,No. of districts,NA
ARUNACHAL PRADESH,1939,Actual,3898.7
ARUNACHAL PRADESH,1939,Percentage departure,11.8
ARUNACHAL PRADESH,1939,No. of districts,NA
ARUNACHAL PRADESH,1940,Actual,4099.3
ARUNACHAL PRADESH,1940,Percentage departure,17.6
ARUNACHAL PRADESH,1940,No. of districts,NA
ARUNACHAL PRADESH,1941,Actual,4220.2
ARUNACHAL PRADESH,1941,Percentage departure,21.1
ARUNACHAL PRADESH,1941,No. of districts,NA
ARUNACHAL PRADESH,1942,Actual,3828.2
ARUNACHAL PRADESH,1942,Percentage departure,9.8
ARUNACHAL PRADESH,1942,No. of districts,NA
ARUNACHAL PRADESH,1943,Actual,4326.7
ARUNACHAL PRADESH,1943,Percentage departure,24.1
ARUNACHAL PRADESH,1943,No. of districts,NA
ARUNACHAL PRADESH,1944,Actual,3904.3
ARUNACHAL PRADESH,1944,Percentage departure,12
ARUNACHAL PRADESH,1944,No. of districts,NA
ARUNACHAL PRADESH,1945,Actual,3649.3
ARUNACHAL PRADESH,1945,Percentage departure,4.7
ARUNACHAL PRADESH,1945,No. of districts,NA
ARUNACHAL PRADESH,1946,Actual,4011.2
ARUNACHAL PRADESH,1946,Percentage departure,15.1
ARUNACHAL PRADESH,1946,No. of districts,NA
ARUNACHAL PRADESH,1947,Actual,4369.1
ARUNACHAL PRADESH,1947,Percentage departure,25.3
ARUNACHAL PRADESH,1947,No. of districts,NA
ARUNACHAL PRADESH,1948,Actual,6331.1
ARUNACHAL PRADESH,1948,Percentage departure,81.6
ARUNACHAL PRADESH,1948,No. of districts,NA
ARUNACHAL PRADESH,1949,Actual,4874.7
